가게,store
운동,work out
운동복,Sportswear
운동장,Playground
운동하다,work out
운동화,running shoes
운명,fate
운반,carrying
운영하다,operate
운전,drive
운전기사,driver
운전사,driver
운전자,operator
운전하다,drive
운행,race
울다,cry
울리다,make cry
울산,Ulsan
울음,weeping
울음소리,crying sound
움직이다,Move
움직임,movement
웃기다,funny
웃다,laugh
웃어른,Laughed
웃음,laugh
웃음소리,sound of laughter
워낙,So much
원,one
원고,Manuscript
원래,usually
원서,application
원숭이,monkey
원인,cause
원장,ledger
원피스,one piece
원하다,want
월,month
월급,salary
월드컵,World Cup
월세,monthly
월요일,monday
웨이터,waiter
웬,wen
웬만하다,It's acceptable
웬일,Why
위,stomach
위기,Danger
위대하다,great
위로,consolation
위로하다,console
위반,violation
위반하다,violate
위법,illegality
위성,satellite
위아래,up and down
위원,commissioner
위원장,Chairman
위주,mainly
위쪽,topside
위층,upstairs
위치,location
위치하다,to be placed
위하다,for
위험,danger
위험성,Risks
위험하다,Dangerous
위협,Threat
윗몸,upper body
윗사람,superior
유교,Confucianism
유난히,Especially
유능하다,competent
유럽,europe
유리,glass
유리창,sash
유리하다,It is advantageous
유머,humor
유명,famous
유명하다,Famous
유물,relics
유발하다,cause
유사하다,similar
유산,Legacy
유월,June
유의하다,be careful
유적,ruins
유적지,Historic sites
유지되다,maintained
유지하다,maintain
유치원,kindergarden
유학,Study Abroad
유학생,foreign student
유행,trend
유행하다,popular
유형,category
육,six
육군,army
육상,Athletics
육십,sixty
육체,flesh
육체적,physical
으레,Usually
으응,Yes
은,silver
은은하다,It's subtle
은행,bank
은행나무,Ginkgo
음,hmm
음력,Lunar
음료,beverage
음료수,drink
음반,record
음성,voice
음식,food
음식물,prog
음식점,restaurant
음악,music
음악가,Musician
음주,Drinking
응,huh
응답하다,to respond
의견,opinion
의논,discuss
의논하다,to discuss
의도,Intent
의도적,intentional
의류,clothes
의무,duty
의문,question
의미,meaning
의미하다,mean
의복,cloth
의사,doctor
의식,Consciousness
의식하다,be conscious
의심,doubt
의심하다,Doubt
의외로,surprisingly
의욕,Will
의원,lawmaker
의자,chair
의존하다,be dependent
의지,will
의지하다,Rely
의하다,be due to
의학,Medicine
이,this
이같이,Like this
이거,this
이것,this
이것저것,this and that
이곳,this place
이곳저곳,here and there
이기다,win
이끌다,lead
이날,On this day
이내,Within
이념,ideology
이놈,this guy
이다음,Next
이달,this month
이대로,like this
이데올로기,ideology
이동,movement
이동하다,move
이따가,later
이따금,sometimes
이때,At this time
이래,since
이래서,This is why
이러다,Like this
이러하다,It's like this
이런,this
이런저런,This and that
이렇게,like this
이렇다,It's like this
이력서,resume
이론적,theoretical
이롭다,beneficial
이루다,accomplished
이루어지다,come true
이룩하다,achieve
이뤄지다,come true
이르다,early
이름,name
이리,Wolf
이리저리,back and forth
이마,forehead
이모,aunt
이미,already
이미지,image
이민,immigrant
이발소,barbershop
이번,this time
이별,farewell
이분,This person
이불,bedding
이빨,teeth
이사,move
이사장,Chairman
이사하다,Move house
이상,more
이상적,ideal
이상하다,weird
이성,Sane
이슬,Dew
이십,Twenty
이야기,story
이야기하다,talk
이어,Following
이어서,next
이어지다,be connected
이외,Other than
이용,Use
이용되다,be used
이용자,user
이용하다,use
이웃,neighbor
이웃집,next door
이월,carried over to
이유,reason
이윽고,yet
이익,profit
이자,interest
이전,before
이제,now
이제야,Now
이중,double
이쪽,this way
이튿날,the next day
이틀,Two days
이하,below
이해,understanding
이해관계,interests
이해되다,understand
이해하다,understand
이혼,divorce
이혼하다,divorce
이후,after
익다,ripe
익숙하다,be used to
익숙해지다,Accustomed
익히다,to cook
인,person
인간,human
인간관계,Relationships
인간성,humanity
인간적,humane
인격,personality
인공,art
인구,population
인근,vicinity
인기,popularity
인도,India
인류,humanity
인물,Character
인분8,Servings: 8
인사,greeting
인사말,greetings
인사하다,Greet
인삼,Ginseng
인삼차,Ginseng tea
인상,impression
인상적,impressive
인생,life
인쇄,print
인식하다,Cognize
인연,Destiny
인원,personnel
인재,Human Resources
인정되다,be recognized
인정받다,Affirmed
인정하다,recognize
인제,Inje
인종,race
인천,Incheon
인천공항,Incheon International Airport
인체,anatomy
인터넷,Internet
인터뷰,interview
인하,cut
인하다,cut
인형,doll
일,Day
일곱,seven
일기,diary
일단,first
일대,cohort
일등,first class
일반,common
일반인,general public
일반적,In general
일본,japan
일본어,Japanese
일부,part
일부러,on purpose
일상,daily
일상생활,Everyday life
일상적,routine
일생,lifetime
일손,work in hand
일시적,temporary
일식,Japanese
일쑤,often
일어나다,wake up
일어서다,get up
일요일,sunday
일월,January
일으키다,Raise
일일이,one by one
일자,Date
일자리,Job
일정,schedule
일정하다,constant
일종,kind of
일주일,one week
일찍,early
일찍이,early
일체,one body
일치,Same
일치하다,Coincide
일하다,work
일행,party
일회용,disposable
일회용품,disposable products
일흔,seventy
읽다,read
읽히다,get to read
잃다,lose
잃어버리다,lose
임금,wage
임무,mission
임시,temporary
임신,pregnancy
임신부,pregnant woman
임신하다,be pregnant
입,mouth
입구,Entrance
입국,Entrance
입다,put on
입대,enlist
입력,input
입력하다,enter
입맛,taste
입사,join
입사하다,join
입술,Lips
입시,entrance exam
입원,Admission
입원하다,Hospitalize
입장,Entrance
입학,Admission
입학하다,Enter a school
입히다,plate
잇다,connect
잇따르다,one after another
있다,there is
잊다,forget
잊어버리다,forget
잊혀지다,forgotten
잎,leaf
자,ruler
자가용,own car
자격,Qualification
자격증,certificate
자극,Stimulation
자극하다,stimulate
자기,self
자꾸,repeatedly
자꾸만,keeps on
자네,you
자녀,children
자다,sleep
자동,automatic
자동차,automobile
자라나다,grow up
자라다,grow
자랑,Boast
자랑스럽다,proud
자랑하다,brag
자료,data
자르다,cut
자리,seat
자매,sisters
자부심,pride
자살,Suicide
자살하다,commit suicide
자세,posture
자세하다,detailed
자세히,Details
자식,child
자신,Myself
자신감,confidence
자연,nature
자연스럽다,natural
자연적,natural
자연현상,natural phenomenon
자연환경,natural environment
자연히,naturally
자원,resource
자유,freedom
자유롭다,free
자율,autonomy
자장면,Noodles
자전거,bicycle
자정,midnight
자존심,Pride
자주,often
자체,itself
자취,trace
자판,keyboard
자판기,vending machine
작가,author
작년,last year
작다,small
작성,write
작성하다,write
작아지다,become smaller
작업,work
작용,Action
작용하다,Apply
작은딸,younger daughter
작은아들,younger son
작은아버지,uncle
작은어머니,uncle
작품,Work
잔,glass
잔디,grass
잔디밭,lawn
잔뜩,loads
잔치,party
잘,well
잘나다,be good
잘되다,blend
잘리다,cut
잘못,wrong
잘못되다,go wrong
잘못하다,do wrong
잘살다,live well
잘생기다,handsome
잘하다,Do well
잠,sleep
잠그다,lock
잠기다,sink
잠깐,for a moment
잠들다,fall asleep
잠바,jacket
잠수함,submarine
잠시,for a moment
잠옷,Pajamas
잠자다,sleep
잠자리,dragonfly
잡다,Catch
잡수다,It's a joke
잡수시다,Let's eat
잡아당기다,pull
잡아먹다,eat up
잡지,magazine
잡히다,be caught
장22,Chapter 22
장25,Chapter 25
장가,Marriage
장갑,Gloves
장관,Minister
장군,General
장기간,long term
장기적,long term
장난,joke
장난감,toy
장남,eldest son
장래,future
장례,funeral
장례식,funeral
장르,genre
장마,The rainy season
장면,scene
장모,Mother-in-law
장모님,mother in law
장미,rose
장비,equipment
장사,Sale
장사꾼,merchant
장소,location
장수,Long live
장식,decoration
장애인,Disabled
장인,master
장점,Advantages
장차,In the future
장학금,scholarship
잦다,often
재능,Talent
재다,take
재료,ingredient
재미,fun
재미없다,Not funny
재미있다,It is interesting
재밌다,fun
재빨리,quickly
재산,property
재생,play
재수,Lucky luck
재우다,load with
재작년,the year before last
재정,finance
재주,skill
재즈,jazz
재채기,sneeze
재판,trial
재학,Attending
재활용,recycle
재활용품,recyclables
쟤,He
저,I
저거,that
저것,that
저고리,Jeogori
저곳,over there
저기,excuse me
저녁,dinner
저녁때,evening
저러다,Like that
저런,Like that
저렇게,Like that
저렇다,It's like that
저리,there
저마다,each one
저번,last time
저울,scale
저자,author
저절로,By itself
저지르다,commit
저쪽,there
저축,saving
저편,beyond
저희,we
적,enemy
적극,actively
적극적,active
적다,little
적당하다,It is suitable
적당히,Moderately
적성,aptitude
적어도,At least
적어지다,become less
적용,apply
적용되다,apply
적용하다,apply
적응,adaptation
적응하다,It is adapted
적절하다,It is appropriate
적합하다,Suitable
적히다,write down
전,jeon
전개,deployment
전개되다,unfold
전개하다,unfold
전공,Major
전공하다,Specialize
전구,bulb
전국,Nationwide
전국적,nationwide
전기,electricity
전기밥솥,electric rice cooker
전날,eve
전달,relay
전달되다,delivered
전달하다,deliver
전라도,Jeolla-do
전망,View
전망하다,view
전문,specialty
전문가,expert
전문적,professional
전문점,specialty store
전문직,professional
전반,first half
전반적,overall
전부,entire
전선,wire
전설,Legend
전세,charter
전시,exhibition
전시되다,be on display
전시장,showroom
전시하다,display
전시회,Exhibition
전용,private
전자,former
전쟁,War
전주,Jeonju
전철,subway
전체,entire
전체적,overall
전통,tradition
전통문화,traditional culture
전통적,traditional
전하다,impart
전해지다,pass down
전혀,at all
전화,phone call
전화기,cellphone
전화번호,phone number
전화하다,Make a phone call
전환,transform
전환하다,switch
전후,order
절,I
절대,never
절대로,never
절대적,Absolute
절망,despair
절반,half
절약,Saving
절약하다,Retrench
절차,procedure
젊다,young
젊은이,young people
젊음,youth
점,dot
점검,inspection
점수,score
점심,lunch
점심때,At lunch
점심시간,Lunch hour
점원,clerk
점잖다,polite
점점,getting more and more
점차,gradually
접근,Access
접근하다,draw close
접다,fold
접시,plate
접촉,contact
접하다,contact with
젓가락,chopsticks
젓다,row
정2,Jeong 2
정거장,station
정기,Routine
정기적,regularly
정답,answer
정당,party
정도,degree
정류장,station
정리,organize
정리되다,organized
정리하다,organize
정말,really
정말로,really
정면,face
정문,Front Door
정반대,contrary
정보,information
정보화,informatization
정부,government
정비,maintenance
정상,normal
정상적,normal
정성,Qualitative
정식,Formally
정신,mental
정신과,psychiatry
정신없이,frantically
정신적,mental
정오,At noon
정원,garden
정장,suit
정지,stop
정직하다,honest
정치,politics
정치권,politics
정치인,politician
정치적,political
정치학,politics
정하다,decide
정해지다,Destine
정확하다,Accurate
정확히,exactly
젖,milk
젖다,get wet
제거하다,Remove
제공,offer
제공하다,provide
제과점,bakery
제대로,properly
제대하다,be discharged
제도적,institutional
제목,title
제발,please
제법,quite
제비,swallow
제사,ancestral rites
제삿날,memorial day
제시,proposal
제시되다,presented
제시하다,present
제안,proposal
제안하다,propose
제약,Restrictions
제외되다,be excluded
제외하다,Except
제의,suggest
제의하다,propose
제일,most
제자,student
제자리,In place
제작,produce
제작하다,It is produced
제주도,jeju island
제출,submit
제출하다,submit
제품,product
제한,limit
제한되다,be restricted
제한하다,limit
조,article
조각,piece
조개,clam
조건,condition
조그마하다,It's small
조그맣다,It's small
조금,little
조금씩,gradually
조기,croaker
조깅,jogging
조르다,tease
조명,light
조미료,Condiment
조사3,Investigation 3
조사하다,Investigate
조상,Ancestor
조선,Shipbuilding
조심스럽다,I'm careful
조심하다,Be careful
조용하다,quiet
조용히,quietly
조절,control
조절하다,regulate
조정,adjustment
조정하다,Mediate
조직,group
조카,nephew
조화되다,harmonize
존경하다,Respect
존댓말,Polite word
존재,existence
존재하다,Exist
존중하다,respect
졸다,snooze
졸리다,Sleepy
졸업,graduate
졸업생,graduate
졸업하다,graduate
졸음,drowsiness
좀,a little
좁다,narrow
좁히다,close up
종,bell
종교,religion
종교적,religious
종로,Jong-ro
종류,type
종소리,knell
종업원,Employee
종이,paper
종이컵,paper cup
종일,all day
종종,often
종합,Synthesis
종합하다,synthesize
좋다,good night
좋아,good
좋아지다,get better
좋아하다,like
좌석,seat
좌우,Right and left
죄,crime
죄송하다,sorry
죄인,sinner
주,main
주26,Note 26
주거,dwelling
주고받다,give and take
주관적,subjective
주년,anniversary
주다,give
주로,mostly
주름,wrinkle
주름살,wrinkles
주말,weekend
주머니,pocket
주먹,fist
주무시다,sleep
주문,order
주문하다,Bespeak
주민,citizen
주방,kitchen
주변,around
주부,housewife
주사,injection
주소,address
주스,juice
주식,stock
주어지다,given
주요,main
주요하다,major
주위,around
주의,caution
주의하다,pay heed to
주인,master
주인공,Hero
주일,weekend
주장,opinion
주장하다,assert
주저앉다,sit down
주전자,kettle
주제,subject
주차,parking
주차장,parking lot
주차하다,park
주택,house
주한,Korea
죽,porridge
죽다,die
죽음,death
죽이다,To kill
준비,preparation
준비되다,ready
준비물,materials
준비하다,prepare
줄,line
줄거리,summary
줄곧,all along
줄기,stem
줄다,shrink
줄무늬,stripe
줄어들다,decrease
줄이다,reduce
줍다,pick up
중,middle
중간,middle
중계방송,relay broadcast
중국,china
중국어,chinese
중국집,Chinese restaurant
중년,middle-age
중단,stop
중단되다,stop
중단하다,stop
중대하다,great
중독,Addicted
중반,mid
중부,Central
중세,Middle Ages
중소기업,small business
중순,mid
중식8,Lunch 8
중심,center
중심지,center
중앙,center
중얼거리다,mutter
중요,important
중요성,importance
중요시하다,attach importance to
중요하다,It is important
중학교,middle School
중학생,Middle schooler
쥐,mouse
쥐다,hold
즉,in other words
즉석,instant
즉시,immediately
즐거움,joy
즐거워하다,be happy
즐겁다,fun
즐기다,enjoy
증가,increase
증가하다,Increase
증거,evidence
증권,stock
증권사,Securities company
증명하다,prove
증상,Symptom
증세,tax increase
지,ji
지각,tardy
지갑,wallet
지겹다,boring
지경,Jigyeong
지구,earth
지극히,extremely
지금,now
지금껏,Until now
지급,Payments
지급하다,pay
지나가다,Pass by
지나다,pass by
지나치다,go too far
지난날,Last Day
지난달,last month
지난번,last time
지난주,last week
지난해,last year
지내다,stay
지능,Intellect
지니다,carry
지다,lose
지대,belt
지도,map
지도자,Leader
지도하다,lead
지루하다,boring
지르다,kick
지름길,shortcut
지리산,Jiri Mountain
지방,province
지배하다,rule
지불하다,Pay
지붕,roof
지속되다,continue
지속적,constantly
지시,instruction
지시하다,instruct
지식,knowledge
지식인,intellectual
지역,region
지우개,eraser
지우다,erase
지워지다,erased
지원,support
지원하다,apply
지위,status
지저분하다,dirty
지적,Point out
지적되다,point out
지적하다,Point out
지점,Point
지지,support
지진,earthquake
지출,expenditure
지치다,exhausted
지켜보다,Watch
지키다,protect
지폐,money
지하,underground
지하도,underpass
지하철,subway
지혜,wisdom
직선,Straight
직업,job
직원,employee
직장,rectal
직장인,Office workers
직전,eve
직접,directly
직접적,direct
직후,Immediately after
진급,promotion
진단,Diagnosis
진단하다,diagnose
진달래,Azalea
진동,vibration
진로,Course
진료,diagnosis
진리,truth
진실,truth
진실로,truly
진실하다,TRUE
진심,Sincerity
진지하다,Serious
진짜,really
진찰,examination
진출,debouchment
진출하다,advance
진통,throes
진하다,It's thick
진행,progress
진행되다,progress
진행자,MC
진행하다,progress
질,quality
질문,question
질문하다,Ask a question
질병,disease
질서,law
질적,qualitative
짐,load
짐작,guesswork
짐작하다,guess
집,house
집다,nip
집단,group
집단적,collective
집안,house management
집안일,housework
집어넣다,Put in
집중,Concentration
집중되다,be concentrated
집중적,intensive
집중하다,Concentrate upon
짓,act
짓다,build
짙다,It's dark
짚다,point out
짜다,salty
짜증,petulance
짜증스럽다,It's annoying
짝,match
짧다,short
짧아지다,become shorter
쩔쩔매다,be embarrassed
쪽,side
쫓겨나다,Kicked out
쫓기다,chased
쫓다,run
쭉,all the way
찌개,soup
찌꺼기,leftover
찌다,steam
찌르다,stab
찍다,hew
찍히다,be taken
찢다,tear
찢어지다,tear
차,car
차갑다,cold
차남,second son
차다,cold
차라리,rather
차량,vehicle
차례,order
차리다,prepare
차림,outfit
차마,I can't bear it
차별,discrimination
차선,lane
차이,difference
차이점,difference
차차,Chacha
차창,car window
차츰,Gradually
착각,mistaken
착각하다,be mistaken
착하다,kind
찬물,cold water
찬성,agree
찬성하다,agree
참,really
참가,attend
참가하다,participate
참고하다,refer to
참기름,Sesame oil
참다,suppress
참되다,TRUE
참새,Sparrow
참석,attend
참석자,participant
참석하다,Attend
참여,Participation
참여하다,participate
참외,melon
참으로,Indeed
참조,reference
찻잔,teacup
창,window
창가,window
창고,storage
창구,window
창문,window
창밖,outside the window
창작,Creation
창조,creation
창조적,creative
창조하다,create
창피하다,It is embarrassing
찾다,find
찾아가다,to go look for
찾아내다,find out
찾아다니다,look for
찾아보다,To look for
찾아오다,come to
채,stick
채널,channel
채소,vegetable
채우다,Fill
채점,grading
책,book
책가방,school bag
책방,bookstore
책상,table
책임,responsibility
책임감,responsibility
책임자,responsible person
책임지다,Vouch
챔피언,champion
챙기다,take
처녀,Virgin
처리,process
처벌,punishment
처음,first
처지,situation
척,chuck
척하다,pretend
천,cloth
천국,heaven
천둥,Thunder
천장,ceiling
천재,genius
천천히,slowly
철,steel
철도,railroad
철저하다,thorough
철저히,thoroughly
철학,philosophy
철학자,philosopher
철학적,philosophical
첫,first
첫날,First day
첫째,first
청년,youth
청바지,jeans
청소,cleaning
청소기8,vacuum cleaner 8
청소년,Teenager
청소하다,clean
청춘,youth
청하다,ask
체계적,systematic
체력,health
체온,temperature
체육,Athletic
체육관,gym
체조,Gymnastics
체중,weight
체하다,pretend
체험,experience
체험하다,experience
쳐다보다,To look at
초,candle
초기,Early
초대,invite
초대하다,invite
초등학교,elementary school
초등학생,Elementary student
초록색,green
초반,early days
초밥,sushi
초보,beginner
초보자,Beginner
초상화,portrait
초순,early
초여름,early summer
초원,grassland
초저녁,early evening
초점,focus
초조하다,nervous
초청,invitation
초청장,invitation
초청하다,invite
초콜릿,chocolate
촌스럽다,It's tacky
촛불,Candlelight
총,gun
총각,bachelor
총리,Prime Minister
총장,president
촬영,filming
최고,best
최고급,top quality
최근,recent
최대,maximum
최대한,Most
최상,the best
최선,best
최소,Ieast
최소한,at least
최신,recent
최악,worst
최저,lowest
최종,final
최초,the first
최후,last
추가,addition
추가되다,added
추가하다,add
추다,dance
추석,Thanksgiving
추억,memory
추위,cold
추진,propel
추진하다,carry forward
추천,suggestion
추천하다,recommend
추측,guess
축구,soccer
축구공,soccer ball
축구장,soccer field
축소,reduction
축제,festival
축하,congrats
축하하다,Celebrate
출구,exit
출국,Departure
출근,go to work
출근하다,go to work
출발,depart
출발점,starting point
출발하다,Depart
출산,delivery
출석하다,attend
출신,Native
출연,Appearance
출연하다,appear
출입,coming and going
출입국,Immigration
출입문,entrance door
출장,business trip
출퇴근,commute
출판,Publishing
출판사,publisher
출현하다,appear
춤,dance
춤추다,to dance
춥다,cold
충격,Shock
충격적,shocking
충고,advice
충돌,crash
충돌하다,collide
충분하다,Suffice
충분히,enough
충청도,Chungcheong-do
취미,hobby
취소,cancellation
취소하다,to cancel
취업,employment
취재,take
취직,employment
취하다,drunk
취향,taste
층,floor
치과,Dentist
치다,hit
치료,therapy
치료법,cure
치료하다,Treat
치르다,pay
치마,skirt
치아,teeth
치약,toothpaste
치우다,clean up
치즈,cheese
친구,friend
친절,kindness
친절하다,nice
친정,parent's house
친척,Relative
친하다,close
친해지다,become friendly
칠,seven
칠십,seventy
칠월,July
칠판,blackboard
칠하다,paint
침,saliva
침대,bed
침묵,silence
침실,bedroom
침착하다,calm down
칫솔,toothbrush
칭찬,compliment
칭찬하다,Praise
카드,card
카레,Curry
카메라,camera
카운터,counter
카페,cafe
칸,Cannes
칼,knife
칼국수,Kalguksu
캄캄하다,It's dark
캐나다,Canada
캐릭터,character
캠퍼스,campus
캠페인,campaign
커다랗다,It's big
커지다,grow big
커튼,curtain
커피,coffee
컨디션,Condition
컬러,color
컴퓨터,computer
컵,cup
케첩,ketchup
켜다,turn on
켜지다,turn on
코,nose
코끝,tip of nose
코끼리,elephant
코너,corner
코드,code
코미디,comedy
코스,course
코스모스,Cosmos
코치,coach
코트,coat
코피,Nosebleed
콘서트,concert
콜라,Cola
콤플렉스,complex
콩,bean
콩나물,Bean sprouts
쾌감,pleasure
쿠데타,Coup d'etat
크기,size
크다,big
크리스마스,christmas
크림,cream
큰길,main street
큰딸,eldest daughter
큰소리,loudly
큰아들,eldest son
큰아버지,uncle
큰어머니,eldest mother
큰일,big deal
큰절,bow loudly
클래식,classic
클럽,club
키,key
키스,kiss
키우다,grow
킬로,kilo
킬로그램,kilogram
킬로미터,kilometer
타고나다,be born with
타다,ride
타락,Corruption
타오르다,burn
타입,type
타자기,keyboard
탁,widely
탁구,Ping-pong
탁월하다,excellent
탁자,table
탄생,birth
탄생하다,be born
탈출하다,to escape
탑,tower
탓,fault
태권도,Taekwondo
태도,attitude
태아,fetus
태양,sun
태어나다,bear
태우다,Burn
태풍,Typhoon
택시,taxi
택하다,select
탤런트,Talent
터,place
터널,tunnel
터뜨리다,explode
터미널,terminal
터지다,To explode
턱,chin
털,hair
털다,whisk
텅,Tongue
테니스,tennis
테러,terror
테스트,test
테이블,table
테이프,tape
텍스트,text
텔레비전,television
토끼,rabbit
토대,foundation
토론,debate
토론자,debater
토론하다,have a discussion
토론회,debating society
토마토,tomato
토요일,Saturday
토하다,vomit
톤,ton
통,container
통계,statistics
통과,Pass
통과하다,Pass
통로,Passage
통신,communication
통역,translate
통일,unity
통일하다,unify
통장,Bank book
통제,control
통증,ache
통하다,pass
통합,integrated
통화,call
퇴근,leave work
퇴근하다,leave work
퇴원,Discharge
퇴원하다,discharge from hospital
퇴직금,severance pay
투명하다,transparent
투자,invest
투표,vote
튀기다,fry
튀김,fried food
튀다,splatter
튀어나오다,pop up
트럭,truck
트이다,open
특급,Express
특별,Special
특별하다,special
특별히,especially
특성,characteristic
특수,special
특수성,distinctiveness
특이하다,Unusual
특정하다,specific
특징,characteristic
특히,especially
튼튼하다,strong
튼튼히,Strongly
틀,frame
틀다,turn on
틀리다,wrong
틀림없다,It's definitely true
틀림없이,definitely
틈,aperture
티브이,TV
티셔츠,t-shirt
팀,team
파,green onion
파괴하다,destroy
파다,dig
파도,tide
파란색,blue
파랗다,blue
파리,fly
파악하다,Seize
파일,file
파출소,police box
파티,party
판,board
판결,verdict
판단,judgment
판단하다,Judge
판매,sale
판매되다,sold
판매하다,sell
판사,judge
팔,eight
팔다,sell
팔리다,sell
팔십,eighty
팔월,August
팝송,pop song
패션,fashion
팩,pack
팩스,fax
팩시밀리,facsimile
팬,Pan
팬티,panties
퍼센트,percent
퍼지다,spread
퍽,puck
페인트,Paint
펴내다,publish
펴다,Spread
편,side
편견,prejudice
편리하다,convenient
편안하다,It is comfortable
편의,Convenience
편의점,convenience store
편지,letter
편하다,relaxing
편히,comfortably
펼쳐지다,unfold
평,pyeong
평가,evaluation
평가되다,be evaluated
평가하다,evaluate
평균,average
평범하다,normal
평상시,normally
평생,forever
평소,usually
평양,Pyongyang
평일,weekday
평화,peace
평화롭다,It's peaceful
폐지,abolition
포근하다,comfy
포기하다,give up
포도,grape
포도주,wine
포스터,poster
포인트,point
포장,packaging
포장마차,snack cart
포크,fork
포함,include
포함되다,to be included
포함하다,include
폭,width
폭넓다,wide
폭력,violence
표,graph
표면,surface
표시,mark
표시하다,Denote
표정,expression
표준,standard
표현,expression
표현되다,expressed
표현하다,express
푸다,scoop out
푸르다,blue
푹,deeply
풀,grass
풀다,solve
풀리다,Relent
풀어지다,be released
품,Poom
품다,incubate
품목,item
품질,quality
풍경,sight
풍부하다,rich
풍속,wind speed
풍습,custom
프랑스,france
프로,Pro
프로그램,program
프린터,printer
플라스틱,plastic
피,blood
피곤,tired
피곤하다,I'm tired
피다,Blossom
피디,PD
피로,fatigue
피로하다,tired
피망,pimento
피부,skin
피시,fish
피아노,piano
피우다,smoke
피자,pizza
피하다,avoid
피해,damage
피해자,victim
필름,film
필수,essential
필수적,essential
필연적,inevitable
필요,necessary
필요성,Necessity
필요하다,need
필자,writer
필통,pencilcase
핑계,excuse
하,under
하긴,but
하나,one
하나님,father
하나하나,One by one
하느님,God
하늘,sky
하다,do
하도,Hado
하드웨어,hardware
하루,day
하룻밤,one night
하반기,Second half
하숙집,Boarding house
하순,late
하얀색,White
하얗다,White
하여튼,anyway
하지만,but
하천,River
하품,yawn
하필,Of course
하하,haha
학과,Department
학교,school
학교생활,school life
학급,class
학기,semester
학년,grade
학력,Education
학번,Student ID
학부모,parents
학비,School expenses
학생,student
학생증,Student ID
학술,academic
학습,learning
학용품,stationery
학원,academy
학위,degree
학자,Scholar
학점,Grades
한,one
한가운데,midst
한가하다,It is idle
한강,Han River
한겨울,midwinter
한결,Hangyeol
한계,Limit
한구석,a corner
한국,korea
한국말,Korean
한국어,korean
한국적,Korean
한글,korean
한글날,Hangul Day
한꺼번에,At the same time
한낮,midday
한눈,glance
한데,But
한동안,for a while
한두,one or two
한둘,one or two
한때,onetime
한라산,Mt. Hanlla
한마디,one word
한문,Chinese
한반도,Korean Peninsula
한밤중,midnight
한번,once
한복,Han bok
한순간,a moment
한숨,sigh
한식,Korean
한여름,midsummer
한자,chinese character
한잔,a drink
한잔하다,have a drink
한정되다,limited
한정하다,limit
한쪽,pair
한참,long time
한창,In full swing
한층,even
한편,Meanwhile
한평생,a lifetime
한하다,limit
할머니,grandma
할아버지,grandfather
할인,discount
함께,together
함께하다,together
함부로,thoughtlessly
합격,pass
합격하다,Pass an examination
합리적,rational
합치다,combine
합하다,fit
항공,Airline
항공기,aircraft
항구,Harbor
항상,always
항의,protest
해,sun
해결,solve
해결되다,solved
해결하다,solve
해군,Navy
해내다,accomplish
해답,solution
해당,corresponding
해당되다,Applicable
해당하다,correspond to
해롭다,It's harmful
해마다,year after year
해물,seafood
해석,Translate
해석하다,interpret
해설,Commentary
해소,solution
해소하다,Release
해수욕장,Beach
해안,Coast
해외,Overseas
해외여행,Overseas Travel
핵,nucleus
핵심,main point
핸드백,handbag
핸드폰,cell phone
햄,ham
햄버거,hamburger
햇볕,sunshine
햇빛,sunlight
햇살,sunlight
행동,action
행동하다,Act
행복,happiness
행복하다,happy
행사,event
행운,luck
행위,Act
행하다,hold
행해지다,be done
향,incense
향기,Scent
향상,Improving
향상되다,improve
향수,perfume
향하다,lean towards
허가,permission
허락,allow
허락하다,Permit
허리,waist
허용,permit
허용되다,allowed
허용하다,permit
허허,haha
헌,used
헤매다,wander about
헤아리다,count
헤어지다,break up
헬기,helicopter
혀,tongue
현,hyeon
현관,entrance
현관문,Main door
현금,cash
현대,hyundai
현대인,modern
현대적,modern
현상,phenomenon
현실,reality
현실적,realistic
현장,site
현재,today
현지,local
혈액,blood
협력,Cooperation
형,brother
형님,older brother
형부,Brother-in-law
형사,detective
형성,formation
형성되다,formed
형성하다,form
형수,Sister-in-law
형식,form
형식적,formal
형제,sibling
형태,form
형편,circumstances
혜택,Benefits
호,like
호기심,curiosity
호남,Honam
호랑이,tiger
호박,pumpkin
호선8,Line 8
호수,lake
호실,room
호주,australia
호주머니,pocket
호텔,hotel
호흡,Breath
혹시,if
혹은,or
혼나다,be scolded
혼자,alone
혼잣말,soliloquy
홀로,alone
홈페이지,home page
홍보,promotion
홍수,flood
홍차,black tea
화,fury
화가,artist
화나다,angry
화려하다,Gorgeous
화면,screen
화분,pot
화살,arrow
화요일,tuesday
화장,Makeup
화장실,restroom
화장지,paper towel
화장품,cosmetics
화재,fire
화제,issue
화학,chemistry
확,sudden
확대되다,enlarge
확대하다,to enlarge
확립하다,establish
확보,secure
확산되다,spread
확신,assurance
확신하다,Is convinced
확실하다,It is certainly
확실히,surely
확인,check
확인되다,confirmed
확인하다,check
확장,expansion
확정,confirmed
환갑,60th birthday
환경,environment
환경오염,Pollution
환영,illusion
환영하다,Welcome
환율,Exchange Rate
환자,patient
환하다,clear
활기,vigor
활동,activity
활동하다,To be active
활발하다,It is actively
활발해지다,become active
활발히,actively
활용,uses
활용하다,utilize
활짝,wide open
회,episode
회견,interview
회관,hall
회복,recovery
회복되다,recover
회복하다,to recover
회사,company
회색,gray
회원,member
회의,meeting
회장,Chairman
회전,rotation
